Name,Latitude,Longitude,Zip_Codes
Sway Coffee Roasters,39.05060918,-94.6167507,64111
Splitlog Coffee Company,39.10285039,-94.62412,64108
Urban Prairie Coffee,39.02245,-94.65063,64131
Front Range - Fairway,39.033601,-94.617283,64109
Café Corazon ,39.0500645,-94.606405,64110
Post Coffee,39.06266,-94.590624,64112
Vested Beacon Hill Coffee,39.081156,-94.570342,64105
Chingu Coffee,39.04245658,-94.6010326,64116
Summer Moon Coffee,38.9634941,-94.6673851,64134
Three Bees Pottery & Coffee Shop,39.06158229,-94.62032652,64108
Cafe Equinox,39.00086,-94.71523,64137
HITIDES Coffee,39.09136,-94.57683,64111
Messenger Coffee,39.09356413,-94.58151236,64111
Black Dog Coffeehouse,38.97033,-94.73444,64139
Waterbird Coffee Company,39.09971573,-94.57991977,64111
Hi Hat Coffee,39.03706062,-94.60768639,64109
Mildred's,39.090819,-94.58565,64111
Core Coffee,39.1068,-94.55404,64126
Vested Garment District Coffee,39.1048,-94.58691,64111
Filling Station Coffee - Overland Park,39.022487,-94.672045,64132
Grand Coffee Company,39.08459581,-94.58157051,64111
PH Coffee,39.111186,-94.555345,64127
Rochester Brewing and Roasting Company,39.08622598,-94.59011817,64111
Post Coffee Company,39.14232,-94.576576,64117
Oddly Correct,39.05088317,-94.57218762,64111
The Borough,38.98168,-94.56729,64131
Novella,39.10222,-94.60109,64108
Thou Mayest - River Quay,39.108428,-94.584417,64111
Front Range - KC,38.99934684,-94.58437331,64111
Crows Coffee South Plaza,39.03489442,-94.58364284,64109
Two Sugars,39.05034,-94.60396,64110
Kinship Cafe,39.11327301,-94.62379005,64108
Blip Roasters,39.107829,-94.599771,64108
McLain's Market - Shawnee,39.022291,-94.714117,64138
Second Best Coffee,38.9742949,-94.5945895,64131
Grounded Sole Coffeehouse,39.07502,-94.66896,64138
Parkville Coffee,39.18930054,-94.68359375,64152
Anchor Island Coffee,39.052354,-94.5720865,64111
Filling Station - Midtown,39.0726532,-94.5782491,64112
Bear Necessities Coffee & Bar,38.97013,-94.6973,64139
Mother Earth Coffee - Hyde Park,39.0634721,-94.58105718,64111
The Wild Way Coffee,39.090346,-94.575038,64111
Cafe Ca Phe,39.11057555,-94.57262466,64111
Maps Coffee & Chocolate,38.96072,-94.74189,64149
The Roasterie Cafe - Kansas City,39.079216,-94.598444,64111
McLain's Bakery,38.99901962,-94.58662415,64111
Nirvana Coffee Bar & Game Lounge,39.08819999,-94.45205865,64118
The Filling Station,39.0818497,-94.5789252,64111
Pour Coffeehouse,38.92641647,-94.83700822,66061
Sweet Tee's Coffee Shop,38.8835451,-94.7808367,66062
Apogee,38.890619,-94.7959871,66061
Foundry Coffeehouse,38.968684,-94.759673,66219
Comic Coffeehouse,38.85274521,-94.79818956,66062
Groundhouse Coffee,38.81082,-94.92483,66030
Pilgrim Coffee Company,38.8993899,-94.66639,66213
Brew Haha Coffeehouse,38.941411,-94.7019323,66212
Revocup Coffee Roasters,38.88428604,-94.72297836,66221
The Bean Coffee & Cafe,38.743312,-94.817166,66083
Jinkies Coffee and Hangout,38.85601683,-94.68316667,66223
Fat Bee Cafe Shawnee,39.013271,-94.738602,66216
Revocup Lenexa Coffee Shop,38.97118853,-94.78438491,66219
Kolaches And Coffee,38.9158294,-94.6715332,66213
7 Brew Coffee,38.88338601,-94.781902,66030
Cause Coffee,38.97849,-94.97023,66018
Ten & Two Coffee Bar,39.05216975,-94.88942865,66012
Third Space Coffee,39.05669014,-94.88390789,66012
Outta the Blue Cafe,38.91730974,-94.6475109,66211
Go Joe,38.96477498,-94.66573143,66212
Cafe Equinox - Overland Park,38.97554738,-94.7007184,66212
McLain's Market - Overland Park,38.93521,-94.63907,66207
Dutch Bros Coffee,38.8831057,-94.7491756,66062
Grace Church,38.841176,-94.68374,66223
